has_secondary_education,has_higher_education,work_experience,master_id,rang_id,docs_verified,guarantee,rating,reviews_count,price_socket,discount,cur_score,album_count,photos_count,no_electric_reviews,few_electric_reviews,has_contract,has_insurance,months_on_profi_ru
0,0,,https://profi.ru/profile/DavletovDF2/,98.0,1,0,"4,0",4,,,50.48896628571429,0,3,0.0,0.0,0,0,42.0
0,0,20.0,https://profi.ru/profile/DavletshinDT/,108.0,1,0,0,0,,,50.7720296,0,0,0.0,0.0,0,0,1.0
1,0,,https://profi.ru/profile/DavletshinIF5/,189.0,1,0,0,0,,,50.44743,0,0,0.0,0.0,0,0,
0,0,,https://profi.ru/profile/DavlitovBM2/,130.0,0,24,0,0,,,50.7539856,0,0,0.0,0.0,0,0,7.0
0,1,11.0,https://profi.ru/profile/DavlyatovRR3/,88.0,1,0,"5,0",5,,,50.5266725,0,0,1.0,0.0,0,0,
0,0,,https://profi.ru/profile/DayanovVI/,80.0,1,0,"5,0",1,,,50.69053,2,4,0.0,0.0,0,0,28.0
0,1,4.0,https://profi.ru/profile/DaylizhlLA/,151.0,1,0,"5,0",1,,,50.48062766666666,0,2,0.0,0.0,0,0,
1,0,8.0,https://profi.ru/profile/DemyanovVV3/,132.0,1,0,"4,98",145,,10.0,50.54456781818181,0,21,0.0,0.0,0,0,
1,0,7.0,https://profi.ru/profile/DimitriyevSA2/,135.0,1,0,"5,0",10,,,50.48748057142858,0,0,0.0,0.0,0,0,3.0
0,0,,https://profi.ru/profile/DimiyevAA/,158.0,1,0,0,0,300.0,,50.63205666666666,0,8,0.0,0.0,0,0,
0,0,12.0,https://profi.ru/profile/DmitriyR2/,120.0,0,0,0,0,,,50.746039,0,6,0.0,0.0,0,0,
1,0,7.0,https://profi.ru/profile/DmitriyevRS7/,157.0,1,0,0,0,,,50.670793333333336,0,0,0.0,0.0,0,0,4.0
1,0,20.0,https://profi.ru/profile/DoizhaDS/,184.0,0,0,"4,82",34,350.0,,50.5474006,0,2,0.0,1.0,0,0,
1,0,2.0,https://profi.ru/profile/DorofeyevDV10/,152.0,1,0,0,0,,,50.6435235,0,0,0.0,0.0,0,0,20.0
0,0,,https://profi.ru/profile/DorogovAV2/,133.0,1,0,"5,0",4,,,50.47880966666666,0,0,0.0,0.0,0,0,3.0
0,1,,https://profi.ru/profile/DunayevAY4/,169.0,1,0,0,0,,,50.625191666666666,0,0,0.0,0.0,0,0,
